price,quantity,type,timestamp
99385000,0.1898,0,00:03.7
99377000,0.0429,0,00:03.7
99376000,0.0682,0,00:03.7
99360000,0.0196,0,00:03.7
99359000,0.0256,0,00:03.7
99416000,0.0003,1,00:03.7
99465000,0.0492,1,00:03.7
99466000,0.324,1,00:03.7
99469000,0.0008,1,00:03.7
99475000,0.0522,1,00:03.7
99421000,0.0433,0,00:08.4
99409000,0.0643,0,00:08.4
99398000,0.0429,0,00:08.4
99397000,0.0196,0,00:08.4
99396000,0.0255,0,00:08.4
99465000,0.0492,1,00:08.4
99466000,0.324,1,00:08.4
99469000,0.0008,1,00:08.4
99475000,0.0522,1,00:08.4
99491000,0.0646,1,00:08.4
99421000,0.0426,0,00:13.4
99409000,0.0643,0,00:13.4
99398000,0.0429,0,00:13.4
99397000,0.0196,0,00:13.4
99396000,0.0255,0,00:13.4
99465000,0.0492,1,00:13.4
99469000,0.0008,1,00:13.4
99475000,0.0522,1,00:13.4
99478000,0.324,1,00:13.4
99491000,0.0646,1,00:13.4
99421000,0.0005,0,00:18.4
99409000,0.0643,0,00:18.4
99398000,0.0426,0,00:18.4
99397000,0.0196,0,00:18.4
99396000,0.0255,0,00:18.4
99464000,0.0001,1,00:18.4
99465000,0.0491,1,00:18.4
99469000,0.0008,1,00:18.4
99475000,0.0522,1,00:18.4
99478000,0.324,1,00:18.4
99465000,0.0008,0,00:23.4
99410000,0.0426,0,00:23.4
99409000,0.0643,0,00:23.4
99397000,0.0196,0,00:23.4
99396000,0.0255,0,00:23.4
99469000,0.0007,1,00:23.4
99475000,0.0522,1,00:23.4
99478000,0.324,1,00:23.4
99492000,0.0805,1,00:23.4
99494000,0.325,1,00:23.4
99391000,0.0002,0,00:28.4
99390000,0.0648,0,00:28.4
99385000,0.0019,0,00:28.4
99376000,0.003,0,00:28.4
99372000,0.0196,0,00:28.4
99465000,0.0006,1,00:28.4
99469000,0.3245,1,00:28.4
99475000,0.0522,1,00:28.4
99477000,0.0983,1,00:28.4
99488000,0.0627,1,00:28.4
99392000,0.0001,0,00:33.4
99391000,0.0004,0,00:33.4
99390000,0.0646,0,00:33.4
99385000,0.0019,0,00:33.4
99376000,0.003,0,00:33.4
99446000,0.3208,1,00:33.4
99475000,0.0522,1,00:33.4
99488000,0.0627,1,00:33.4
99489000,0.324,1,00:33.4
99492000,0.0805,1,00:33.4
99392000,0.0003,0,00:38.4
99391000,0.0002,0,00:38.4
99390000,0.0646,0,00:38.4
99385000,0.0288,0,00:38.4
99376000,0.003,0,00:38.4
99446000,0.2794,1,00:38.4
99475000,0.0522,1,00:38.4
99488000,0.0627,1,00:38.4
99489000,0.324,1,00:38.4
99492000,0.0805,1,00:38.4
99392000,0.0003,0,00:43.5
99391000,0.0002,0,00:43.5
99390000,0.0619,0,00:43.5
99386000,0.0878,0,00:43.5
99385000,0.0288,0,00:43.5
99442000,0.324,1,00:43.5
99474000,0.0993,1,00:43.5
99475000,0.0521,1,00:43.5
99488000,1.8627,1,00:43.5
99489000,0.324,1,00:43.5
99385000,0.0288,0,00:48.5
99376000,0.003,0,00:48.5
99369000,0.0878,0,00:48.5
99368000,0.0627,0,00:48.5
99356000,0.003,0,00:48.5
99474000,0.0472,1,00:48.5
99475000,0.0521,1,00:48.5
99488000,1.8629,1,00:48.5
99492000,0.0805,1,00:48.5
99494000,0.0602,1,00:48.5
99386000,0.0001,0,00:53.4
99385000,0.0288,0,00:53.4
99376000,0.003,0,00:53.4
99369000,0.0878,0,00:53.4
99368000,0.0627,0,00:53.4
99472000,0.1003,1,00:53.4
99473000,0.0227,1,00:53.4
99475000,0.0521,1,00:53.4
99488000,1.8629,1,00:53.4
99492000,0.0805,1,00:53.4
99387000,0.0565,0,00:58.5
99386000,0.0001,0,00:58.5
99385000,0.0288,0,00:58.5
99376000,0.003,0,00:58.5
99369000,0.0657,0,00:58.5
99472000,0.0002,1,00:58.5
99474000,0.1003,1,00:58.5
99475000,0.0521,1,00:58.5
99488000,1.8629,1,00:58.5
99492000,0.0805,1,00:58.5
99387000,0.0555,0,01:03.4
99386000,0.0001,0,01:03.4
99385000,0.0288,0,01:03.4
99376000,0.003,0,01:03.4
99368000,0.0629,0,01:03.4
99472000,0.0002,1,01:03.4
99475000,0.0521,1,01:03.4
99487000,0.1003,1,01:03.4
99488000,1.8629,1,01:03.4
99492000,0.0805,1,01:03.4
99386000,0.0643,0,01:08.4
99385000,0.0288,0,01:08.4
99376000,0.003,0,01:08.4
99368000,0.0629,0,01:08.4
99359000,0.0196,0,01:08.4
99418000,0.0004,1,01:08.4
