price,quantity,type,timestamp
4802000,0.0301,0,00:03.6
4801000,3.001,0,00:03.6
4800000,3,0,00:03.6
4799000,21.8027,0,00:03.6
4798000,7.302,0,00:03.6
4803000,0.0171,1,00:03.6
4804000,3.3073,1,00:03.6
4805000,0.1262,1,00:03.6
4806000,3.7741,1,00:03.6
4808000,4.9309,1,00:03.6
4803000,0.0607,0,00:08.4
4802000,0.0253,0,00:08.4
4801000,6.301,0,00:08.4
4800000,4,0,00:08.4
4799000,21.5937,0,00:08.4
4804000,0.0073,1,00:08.4
4805000,3.4262,1,00:08.4
4806000,3.6719,1,00:08.4
4807000,0.2284,1,00:08.4
4808000,4.9329,1,00:08.4
4803000,21,0,00:13.4
4802000,1.1165,0,00:13.4
4801000,3.301,0,00:13.4
4800000,3,0,00:13.4
4799000,19,0,00:13.4
4805000,3.343,1,00:13.4
4806000,0.3719,1,00:13.4
4807000,1.0849,1,00:13.4
4808000,11.2309,1,00:13.4
4809000,9.5564,1,00:13.4
4803000,21,0,00:18.4
4802000,1.0435,0,00:18.4
4801000,3.301,0,00:18.4
4800000,3,0,00:18.4
4799000,18,0,00:18.4
4805000,3.7415,1,00:18.4
4806000,0.3719,1,00:18.4
4807000,1.0849,1,00:18.4
4808000,11.2309,1,00:18.4
4809000,10.5584,1,00:18.4
4803000,21,0,00:23.4
4802000,0.0253,0,00:23.4
4801000,3.301,0,00:23.4
4800000,3,0,00:23.4
4799000,18,0,00:23.4
4805000,3.7415,1,00:23.4
4806000,0.3719,1,00:23.4
4807000,1.0849,1,00:23.4
4808000,11.2309,1,00:23.4
4809000,10.5584,1,00:23.4
4803000,15.0307,0,00:28.4
4802000,0.0253,0,00:28.4
4801000,0.001,0,00:28.4
4798000,21.302,0,00:28.4
4797000,3,0,00:28.4
4804000,3.3,1,00:28.4
4805000,1.536,1,00:28.4
4806000,7.003,1,00:28.4
4807000,3,1,00:28.4
4808000,9.0331,1,00:28.4
4803000,9.8316,0,00:33.4
4802000,0.0253,0,00:33.4
4801000,0.001,0,00:33.4
4798000,21.302,0,00:33.4
4797000,3.3313,0,00:33.4
4804000,3.3,1,00:33.4
4805000,3.7403,1,00:33.4
4806000,4.5982,1,00:33.4
4807000,4,1,00:33.4
4808000,9.3656,1,00:33.4
4803000,4.7906,0,00:38.4
4802000,0.0253,0,00:38.4
4801000,0.001,0,00:38.4
4798000,18.308,0,00:38.4
4797000,3.3313,0,00:38.4
4804000,3.2988,1,00:38.4
4805000,6.7403,1,00:38.4
